Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-794,,5839.00,1.38,1.19,0.506,4.23,4.070
Kepler-795,,5631.00,0.96,0.94,-0.022,4.45,6.460
Kepler-796,,5475.00,1.09,0.93,0.572,4.33,11.750
Kepler-797,,5680.00,0.95,0.96,0.470,4.47,3.890
Kepler-798,,6224.00,1.29,1.19,0.222,4.29,2.820
Kepler-8,,6213.00,1.49,1.21,0.605,4.17,3.470
Kepler-800,,5315.00,0.82,0.85,-0.358,4.55,4.680
Kepler-801,,4435.00,0.63,0.67,-0.798,4.66,3.550
Kepler-802,,5507.00,0.90,0.93,-0.226,4.50,4.680
Kepler-803,,5919.00,1.12,1.05,0.241,4.36,4.900
Kepler-805,,6112.00,1.65,1.19,0.541,4.08,4.270
Kepler-806,,5770.00,1.16,0.99,0.407,4.30,7.760
Kepler-807,,5965.00,1.06,1.04,0.228,4.41,3.720
Kepler-808,,4653.00,0.71,0.76,-0.684,4.62,1.950
Kepler-809,,5734.00,0.98,0.99,0.001,4.45,4.370
Kepler-810,,5803.00,1.04,1.03,-0.032,4.42,4.170
Kepler-811,,5747.00,1.24,1.01,0.323,4.25,7.940
Kepler-812,,6761.00,1.71,1.45,0.752,4.13,1.660
Kepler-813,,5743.00,0.93,0.95,-0.071,4.48,3.980
Kepler-814,,6162.00,1.22,1.15,0.669,4.33,3.020
Kepler-815,,5028.00,3.42,1.25,0.857,3.46,4.900
Kepler-816,,5286.00,0.85,0.90,-0.374,4.54,4.170
Kepler-817,,5861.00,1.03,1.03,0.086,4.42,3.550
Kepler-818,,5638.00,0.92,0.94,-0.124,4.49,3.980
Kepler-819,,5279.00,0.81,0.86,-0.398,4.55,4.470
Kepler-820,,6260.00,1.36,1.23,0.689,4.25,2.630
Kepler-821,,5191.00,0.80,0.84,-0.364,4.56,4.790
Kepler-822,,5928.00,1.08,1.06,-0.005,4.40,3.550
Kepler-823,,5643.00,0.96,0.98,0.335,4.47,4.470
Kepler-824,,6035.00,1.22,1.15,0.122,4.32,3.310
Kepler-826,,6079.00,1.15,1.05,0.349,4.34,4.370
Kepler-827,,5602.00,0.91,0.93,0.232,4.50,4.370
Kepler-828,,5039.00,0.77,0.81,-0.543,4.58,4.570
Kepler-829,,5698.00,0.97,0.98,0.040,4.46,4.680
Kepler-830,,6037.00,1.11,1.07,0.169,4.38,3.470
Kepler-831,,5732.00,0.97,0.99,0.012,4.46,4.170
Kepler-832,,5596.00,0.90,0.92,0.070,4.50,4.370
Kepler-833,,4339.00,0.62,0.64,-0.793,4.67,3.720
Kepler-834,,4554.00,0.66,0.70,-0.745,4.64,2.690
Kepler-835,,5954.00,1.11,1.08,0.330,4.38,3.630
Kepler-836,,5895.00,1.04,1.03,0.049,4.41,4.270
Kepler-837,,5403.00,0.81,0.85,-0.271,4.56,3.980
Kepler-838,,5770.00,0.96,0.98,-0.099,4.46,4.170
Kepler-839,,6058.00,1.31,1.22,0.437,4.29,2.820
Kepler-841,,5324.00,0.81,0.85,-0.362,4.56,4.470
Kepler-842,,4848.00,0.73,0.78,-0.612,4.60,4.370
Kepler-843,,5830.00,1.03,1.02,-0.047,4.42,4.170
Kepler-844,,4128.00,0.57,0.59,-0.921,4.70,3.800
Kepler-845,,4913.00,0.75,0.79,-0.605,4.59,4.790
Kepler-846,,5579.00,0.91,0.94,-0.217,4.50,4.370
Kepler-847,,4940.00,0.77,0.83,-0.507,4.58,3.890
Kepler-848,,5695.00,1.20,1.01,0.594,4.28,8.320
Kepler-849,,6059.00,1.64,1.23,0.605,4.10,3.980
Kepler-850,,5932.00,1.09,1.06,0.173,4.39,3.890
Kepler-851,,5455.00,0.85,0.89,-0.273,4.53,4.470
Kepler-852,,6100.00,1.16,1.19,0.827,4.38,1.480
Kepler-853,,6350.00,1.55,1.30,0.510,4.17,2.690
Kepler-855,,5835.00,1.03,1.03,0.333,4.42,4.170
Kepler-856,,5535.00,0.93,0.96,-0.022,4.49,4.270
Kepler-857,,5773.00,0.99,0.99,-0.071,4.45,4.270
Kepler-858,,5653.00,0.91,0.96,-0.113,4.50,3.390
Kepler-859,,5020.00,0.77,0.81,-0.556,4.59,4.570
Kepler-860,,5836.00,1.06,1.04,-0.157,4.40,4.270
Kepler-861,,5047.00,0.78,0.82,-0.427,4.58,4.470
Kepler-862,,5333.00,0.84,0.88,-0.103,4.54,4.790
Kepler-863,,5678.00,0.95,0.96,0.215,4.46,3.800
Kepler-864,,5754.00,1.00,1.00,0.208,4.44,4.680
Kepler-865,,5570.00,0.92,0.93,-0.298,4.49,4.270
Kepler-866,,4751.00,0.71,0.75,-0.705,4.62,4.270
Kepler-867,,5541.00,0.91,0.92,0.117,4.49,5.890
Kepler-868,,5614.00,0.89,0.93,0.068,4.51,3.890
Kepler-869,,5664.00,0.95,0.97,-0.110,4.47,4.790
Kepler-870,,5857.00,1.02,1.01,0.043,4.43,3.800
Kepler-871,,5993.00,1.14,1.11,0.309,4.37,3.470
Kepler-872,,5902.00,1.08,1.05,-0.146,4.40,4.170
Kepler-873,,6163.00,1.27,1.18,0.134,4.29,2.950
Kepler-874,,6020.00,1.13,1.09,0.138,4.37,3.310
Kepler-875,,5958.00,1.11,1.06,0.135,4.38,3.390
Kepler-876,,5060.00,0.77,0.81,-0.338,4.58,5.250
Kepler-877,,5261.00,0.81,0.85,-0.343,4.56,4.570
Kepler-878,,5044.00,0.77,0.81,-0.174,4.58,4.570
Kepler-879,,5792.00,1.02,1.02,0.033,4.42,4.270
Kepler-880,,6761.00,1.74,1.46,0.666,4.12,1.660
Kepler-881,,5961.00,1.09,1.06,0.120,4.39,3.800
Kepler-882,,5476.00,0.87,0.90,-0.273,4.52,4.570
Kepler-883,,6116.00,1.09,1.06,0.296,4.40,3.020
Kepler-884,,5715.00,0.94,1.00,-0.313,4.49,2.450
Kepler-885,,6187.00,1.35,1.21,0.417,4.26,3.160
Kepler-886,,6098.00,1.16,1.10,0.042,4.35,3.390
Kepler-888,,5875.00,0.90,0.97,-0.043,4.52,1.480
Kepler-889,,5961.00,1.25,1.14,0.383,4.30,3.980
Kepler-890,,5954.00,1.13,1.09,0.327,4.37,3.630
Kepler-891,,5887.00,1.07,1.06,0.588,4.41,3.550
Kepler-892,,4747.00,0.72,0.75,-0.735,4.61,5.010
Kepler-893,,5820.00,0.99,1.00,0.060,4.45,3.800
Kepler-894,,5603.00,0.85,0.87,-0.123,4.53,4.270
Kepler-895,,4315.00,0.61,0.65,-0.854,4.67,2.630
Kepler-896,,5262.00,0.81,0.84,0.481,4.56,5.010
Kepler-897,,5839.00,1.04,1.03,0.288,4.41,4.370
Kepler-898,,4223.00,0.62,0.65,-0.875,4.66,3.980
Kepler-899,,5595.00,0.91,0.93,0.048,4.49,4.070
Kepler-900,,4836.00,0.73,0.78,-0.608,4.60,4.570
Kepler-901,,4184.00,0.57,0.59,-0.984,4.70,3.800
Kepler-902,,5647.00,0.93,0.95,0.108,4.49,4.370
Kepler-904,,6160.00,1.25,1.16,0.154,4.31,3.020
Kepler-905,,5461.00,0.86,0.95,-0.215,4.55,1.660
Kepler-906,,6035.00,1.02,1.06,0.096,4.45,1.860
Kepler-907,,6106.00,1.38,1.08,0.378,4.19,5.370
Kepler-908,,5973.00,1.12,1.11,0.264,4.38,3.020
Kepler-909,,6154.00,1.23,1.17,0.273,4.33,2.880
Kepler-91,K3,4550.00,6.30,1.31,1.225,2.95,4.470
Kepler-910,,6230.00,1.50,1.26,0.494,4.19,3.390
Kepler-911,,6112.00,1.99,1.34,0.707,3.97,3.550
Kepler-912,,5998.00,1.11,1.07,0.552,4.37,3.160
Kepler-914,,5877.00,1.15,1.10,0.245,4.36,3.980
Kepler-915,,6173.00,1.38,1.21,0.506,4.24,3.390
Kepler-916,,5248.00,0.81,0.85,-0.278,4.56,4.790
Kepler-917,,5418.00,0.76,0.80,0.764,4.58,4.170
Kepler-918,,6028.00,1.14,1.11,-0.018,4.37,3.240
Kepler-919,,6113.00,1.21,1.15,0.167,4.33,3.020
Kepler-921,,5663.00,0.91,0.93,-0.030,4.50,4.270
Kepler-922,,5671.00,0.93,0.95,-0.133,4.48,4.370
Kepler-923,,5988.00,1.26,1.11,0.333,4.28,4.680
Kepler-924,,6167.00,1.23,1.14,0.314,4.32,3.090
Kepler-925,,4673.00,0.72,0.77,-0.684,4.62,2.570
Kepler-926,,5806.00,1.01,1.01,0.173,4.43,4.370
Kepler-927,,5743.00,0.99,0.99,-0.086,4.45,4.370
Kepler-928,,4700.00,0.70,0.73,-0.719,4.62,4.370
Kepler-929,,5869.00,1.02,1.01,0.461,4.42,3.470
Kepler-930,,6335.00,1.40,1.25,0.378,4.24,2.340
Kepler-931,,5241.00,0.81,0.86,-0.350,4.55,4.680
Kepler-932,,5331.00,0.84,0.87,-0.322,4.54,4.680
Kepler-933,,5346.00,0.84,0.87,-0.211,4.54,4.680
Kepler-934,,5001.00,0.77,0.81,-0.478,4.59,4.470
Kepler-935,,4830.00,0.73,0.78,-0.639,4.61,3.800
Kepler-936,,5482.00,0.89,0.92,-0.190,4.51,4.570
Kepler-938,,5533.00,0.89,0.92,-0.174,4.51,4.270
Kepler-939,,5471.00,0.85,0.88,0.391,4.54,4.470
Kepler-940,,5769.00,0.96,0.97,-0.057,4.47,3.630
Kepler-941,,5539.00,0.86,0.89,-0.206,4.53,4.070
Kepler-942,,4861.00,0.75,0.81,-0.585,4.59,4.170
Kepler-943,,5612.00,0.91,0.93,0.407,4.50,4.270
Kepler-944,,5409.00,0.83,0.86,-0.078,4.54,4.470
Kepler-945,,5718.00,0.97,0.97,0.024,4.46,4.470
Kepler-946,,5665.00,0.93,0.94,0.134,4.47,4.170
Kepler-947,,5508.00,0.87,0.90,0.142,4.52,4.270
Kepler-948,,5679.00,0.94,0.96,-0.109,4.47,4.170
Kepler-949,,5403.00,0.86,0.89,-0.442,4.53,4.570
Kepler-95,,5699.00,1.41,1.08,0.281,4.17,5.630
Kepler-950,,5857.00,1.02,1.02,0.355,4.44,3.800
Kepler-951,,4834.00,0.73,0.77,-0.642,4.60,4.270
Kepler-952,,5730.00,0.99,1.00,0.097,4.45,4.270
Kepler-954,,4990.00,0.76,0.82,-0.572,4.59,3.390
Kepler-955,,5350.00,0.84,0.89,-0.409,4.54,4.370
Kepler-956,,6040.00,1.15,1.10,0.052,4.36,3.470
Kepler-957,,4963.00,0.75,0.81,-0.468,4.60,2.750
Kepler-958,,5421.00,0.86,0.91,-0.282,4.53,4.370
Kepler-959,,7005.00,2.01,1.60,0.738,4.04,1.350
Kepler-96,,5690.00,1.02,1.00,-0.052,4.42,2.340
Kepler-960,,4755.00,0.72,0.77,-0.629,4.61,3.630
Kepler-961,,5582.00,0.90,0.96,-0.194,4.51,2.820
Kepler-962,,5478.00,0.86,0.93,-0.261,4.54,2.400
Kepler-963,,5461.00,0.87,0.91,-0.225,4.52,4.070
Kepler-964,,5427.00,0.84,0.93,-0.306,4.55,1.910
Kepler-965,,5886.00,1.15,1.05,0.148,4.33,5.500
Kepler-966,,5840.00,1.02,1.02,0.233,4.43,4.070
Kepler-970,,4290.00,0.71,0.67,-0.775,4.62,0.105
Kepler-971,,5431.00,0.85,0.88,-0.299,4.54,4.470
Kepler-972,,6146.00,1.22,1.15,0.191,4.33,2.820
Kepler-973,,5213.00,0.78,0.86,-0.344,4.58,2.290
Kepler-974,,3687.00,0.50,0.52,-1.354,4.76,4.370
Kepler-975,,4897.00,0.75,0.80,-0.512,4.59,3.890
Kepler-976,,5232.00,0.83,0.87,-0.360,4.55,4.680
Kepler-977,,5315.00,0.83,0.87,-0.476,4.55,4.570
Kepler-978,,6002.00,1.09,1.07,0.143,4.38,3.630
Kepler-979,,5310.00,0.83,0.87,-0.320,4.54,4.570
Kepler-98,,5539.00,1.11,0.99,-0.133,4.34,2.790
Kepler-980,,5935.00,1.06,1.05,0.262,4.41,3.550
Kepler-981,,5718.00,0.96,0.98,-0.081,4.47,4.070
Kepler-982,,6139.00,1.29,1.16,0.511,4.28,3.550
Kepler-983,,6052.00,1.08,1.13,0.150,4.42,1.410
Kepler-984,,5610.00,0.93,0.96,-0.108,4.49,3.980
Kepler-985,,5434.00,0.85,0.91,-0.283,4.54,3.390
Kepler-986,,5642.00,0.98,0.96,-0.047,4.43,6.170
Kepler-987,,5637.00,0.91,0.97,-0.145,4.51,2.450
Kepler-988,,4005.00,0.53,0.55,-1.047,4.73,3.160
Kepler-989,,5074.00,0.78,0.82,-0.427,4.58,4.680
Kepler-99,,4782.00,0.73,0.79,-0.585,4.61,1.470
Kepler-991,,4392.00,0.61,0.64,-0.831,4.67,3.470
Kepler-992,,4944.00,0.74,0.80,-0.570,4.60,3.020
Kepler-993,,3843.00,0.54,0.57,-1.229,4.72,3.890
Kepler-994,,3934.00,0.54,0.56,-1.139,4.72,3.240
Kepler-995,,5206.00,0.80,0.83,-0.419,4.57,5.010
Kepler-996,,6014.00,1.14,1.09,0.242,4.36,3.630
Kepler-997,,6150.00,1.56,1.22,0.496,4.14,3.630
Kepler-998,,6058.00,1.18,1.12,0.193,4.34,3.310
Kepler-999,,6237.00,1.65,1.29,0.538,4.11,3.090
L 168-9,M1 V,3800.00,0.60,0.62,-1.172,4.04,
LHS 1478,m3 V,3381.00,0.25,0.24,-2.146,4.87,
LHS 1815,M1,3643.00,0.50,0.50,-1.387,4.77,
LHS 3844,M5,3036.00,0.19,0.15,-2.565,5.06,
LP 714-47,M0.0 V,3950.00,0.58,0.59,-1.125,4.64,
LSPM J2116+0234,M3.0 V,3475.00,0.43,0.43,-1.699,4.95,2.000
LTT 9779,G7 V,5443.00,0.95,0.77,-0.149,4.35,1.900
Lupus-TR-3,,5000.00,0.82,0.87,-1.464,4.96,
MASCARA-1,A8,7554.00,2.10,1.72,1.176,4.00,1.000
MASCARA-4,A7 V,7800.00,1.92,1.75,1.087,4.10,0.800
MOA-2007-BLG-192L,,,,0.06,,,
MOA-2007-BLG-400L,,,,0.30,,,
MOA-2008-BLG-310L,,,,0.21,,,
MOA-2008-BLG-379L,K,,,0.56,,,
MOA-2009-BLG-266L,,,,0.56,,,
MOA-2009-BLG-319L,,,,0.52,,,
MOA-2009-BLG-387L,,,,0.19,,,
MOA-2010-BLG-073L,,,,0.16,,,
MOA-2010-BLG-117L,,,,0.58,,,
MOA-2010-BLG-328L,,,,0.11,,,
MOA-2010-BLG-353L,,,,0.18,,,
MOA-2010-BLG-477L,,5950.00,,0.67,,,
MOA-2011-BLG-028L,,,,0.75,,,
MOA-2011-BLG-262L,,,,0.11,,,
MOA-2011-BLG-291L,,,,0.15,,,
MOA-2011-BLG-293L,,,,0.86,,,
MOA-2011-BLG-322L,,,,0.39,,,
MOA-2012-BLG-006L,,,,0.49,,,
MOA-2012-BLG-505L,,,,0.10,,,
MOA-2013-BLG-220L,,,,0.88,,,
MOA-2013-BLG-605L,,,,0.02,,,
MOA-2015-BLG-337L,,,,0.01,,,
MOA-2016-BLG-227L,,,,0.29,,,
MOA-2016-BLG-319L,,,,0.15,,,
MOA-bin-1L,,,,0.75,,,
MOA-bin-29,,,,0.03,,,
MXB 1658-298,,,,1.98,,,
NGC 2682 Sand 364,K3 III,4284.00,39.59,9.06,2.072,2.20,4.150
NGC 2682 Sand 978,K4 III,4200.00,21.02,1.37,2.157,1.80,
NGC 2682 YBP 1194,G5 V,5780.00,0.99,1.01,-0.011,4.44,4.150
NGC 2682 YBP 1514,G5 V,5725.00,0.89,0.96,-0.018,4.57,4.150
NGC 2682 YBP 401,F9 V,6165.00,1.22,1.14,0.289,4.30,
NGTS-1,M0.5,3916.00,0.57,0.62,-1.153,4.71,
NGTS-10,K5 V,4600.00,0.70,0.70,-0.757,4.59,10.400
NGTS-11,K,5050.00,0.83,0.86,-0.395,4.50,3.900
NGTS-12,G,5690.00,1.59,1.02,0.338,4.04,9.400
NGTS-13,,5819.00,1.79,1.30,0.517,4.04,4.230
NGTS-14 A,K1 V,5187.00,0.84,0.90,-0.311,4.20,5.900
NGTS-15,G6 V,5600.00,0.95,0.99,-0.086,4.40,3.280
NGTS-16,G7 V,5550.00,1.21,1.00,0.117,4.35,10.290
NGTS-17,G4 V,5650.00,1.34,1.02,0.241,4.00,9.220
NGTS-18,G5 V,5610.00,1.39,1.00,0.270,4.16,10.840
NGTS-2,F5 V,6478.00,1.70,1.64,0.631,4.20,2.170
NGTS-20,G1 IV,5980.00,1.78,1.47,0.645,3.80,4.100
NGTS-3 A,G6 V,5600.00,0.93,1.02,-0.144,4.45,
NGTS-4,,5143.00,0.84,0.75,-0.353,4.50,
NGTS-5,K2 V,4987.00,0.74,0.66,-0.511,4.52,
NGTS-6,,4730.00,0.75,0.77,-0.592,4.70,9.770
NGTS-8,K0 V,5241.00,0.98,0.89,-0.210,4.41,12.480
NGTS-9,F8 V,6330.00,1.38,1.34,0.389,4.37,0.960
NSVS 14256825,,40000.00,0.19,0.42,1.974,5.50,
OGLE-2003-BLG-235L,K V,,,0.63,,,
OGLE-2005-BLG-071L,,,,0.46,,,
OGLE-2005-BLG-169L,K5,,,0.69,,,
OGLE-2005-BLG-390L,,,,0.22,,,
OGLE-2007-BLG-349L A,M,,,0.41,,,
OGLE-2007-BLG-368L,,,,0.64,,,
OGLE-2008-BLG-092L,,,,0.71,,,
OGLE-2008-BLG-355L,,,,0.37,,,
OGLE-2011-BLG-0173L,,,,0.41,,,
OGLE-2011-BLG-0251L,M,,,0.26,,,
OGLE-2011-BLG-0265L,,,,0.21,,,
OGLE-2012-BLG-0358L,,,,0.02,,,
OGLE-2012-BLG-0406L,,,,0.44,,,
OGLE-2012-BLG-0563L,,,,0.34,,,
OGLE-2012-BLG-0724L,M V,,,0.29,,,
OGLE-2012-BLG-0838L,,,,0.40,,,
OGLE-2012-BLG-0950L,M V,,,0.57,,,
OGLE-2013-BLG-0102L,,,,0.10,,,
OGLE-2013-BLG-0132L,,,,0.54,,,
OGLE-2013-BLG-0341L B,,,,0.11,,,
OGLE-2013-BLG-0911L,,,,0.29,,,
OGLE-2013-BLG-1721L,,,,0.46,,,
OGLE-2013-BLG-1761L,,,,0.33,,,
OGLE-2014-BLG-0124L,,,,0.71,,,
OGLE-2014-BLG-0319L,M,,,0.52,,,
OGLE-2014-BLG-0676L,,,,0.73,,,
OGLE-2014-BLG-1760L,,,,0.51,,,
OGLE-2015-BLG-0051L,,,,0.10,,,
OGLE-2015-BLG-0954L,,,,0.30,,,
OGLE-2015-BLG-0966L,,,,0.38,,,
OGLE-2015-BLG-1649L,,,,0.34,,,
OGLE-2015-BLG-1670L,,,,0.55,,,
OGLE-2015-BLG-1771L,,,,0.08,,,
OGLE-2016-BLG-0263L,,,,0.13,,,
OGLE-2016-BLG-0613L AB,,,,0.72,,,
OGLE-2016-BLG-1067L,,,,0.30,,,
OGLE-2016-BLG-1190L,,,,0.88,,,
OGLE-2016-BLG-1195L,,,,0.08,,,
OGLE-2016-BLG-1227L,,,,0.10,,,
OGLE-2017-BLG-0173L,,,,0.40,,,
OGLE-2017-BLG-0373L,,,,0.25,,,
OGLE-2017-BLG-0406L,,,,0.56,,,
OGLE-2017-BLG-0482L,,,,0.20,,,
OGLE-2017-BLG-0604L,,,,0.70,,,
OGLE-2017-BLG-1049L,,,,0.55,,,
OGLE-2017-BLG-1099L,,,,0.45,,,
OGLE-2017-BLG-1140L,,,,0.21,,,
OGLE-2017-BLG-1375L,,,,0.81,,,
OGLE-2017-BLG-1434L,,,,0.23,,,
OGLE-2017-BLG-1522L,,,,0.04,,,
OGLE-2018-BLG-0383L,,,,0.10,,,
OGLE-2018-BLG-0532L,,,,0.20,,,
OGLE-2018-BLG-0567L,,,,0.25,,,
OGLE-2018-BLG-0596L,,,,0.23,,,
OGLE-2018-BLG-0677L,,,,0.12,,,
OGLE-2018-BLG-0740L,G V,5912.00,,1.00,,4.50,
OGLE-2018-BLG-0962L,,,,0.54,,,
OGLE-2018-BLG-1185L,,,,0.37,,,
OGLE-2018-BLG-1269L,,,,1.11,,,
OGLE-2018-BLG-1428L,,,,0.43,,,
OGLE-2018-BLG-1700L,,,,0.42,,,
OGLE-2019-BLG-0299L,,,,0.59,,,
OGLE-2019-BLG-0304L,,,,0.27,,,
OGLE-2019-BLG-0362L,,,,0.42,,,
OGLE-2019-BLG-0954L,,,,0.80,,,
OGLE-2019-BLG-0960L,,,,0.50,,,
OGLE-2019-BLG-1470L A,,,,0.57,,,
OGLE-TR-10,G2 V,5950.00,1.17,1.14,0.188,4.18,3.100
OGLE-TR-111,K2 V,5040.00,0.83,0.82,-0.339,4.54,8.800
OGLE-TR-113,K4 V,4790.00,0.77,0.78,-0.529,4.55,13.200
OGLE-TR-132,F5 V,6210.00,1.32,1.30,0.371,4.31,1.200
OGLE-TR-182,,5924.00,1.14,1.14,0.241,4.14,4.300
OGLE-TR-211,,6325.00,1.64,1.33,0.267,4.17,2.600
OGLE-TR-56,F8 V,6050.00,1.74,1.17,0.350,4.09,3.000
OGLE2-TR-L9,,6933.00,1.53,1.52,0.512,4.24,1.000
Oph 11,M9,2375.00,0.23,0.02,-2.770,4.25,5.000
PH1,F,6407.00,1.73,1.53,0.660,4.14,2.000
PH2,,5629.00,1.00,0.94,-0.102,4.41,2.040
POTS-1,K5 V,4400.00,0.59,0.69,-1.087,4.63,
PSR B0329+54,,,,1.44,,,
PSR B1620-26,,,,1.35,,,
PSR J1719-1438,,4500.00,,1.40,,,12.500
PSR J2322-2650,,,,1.40,,,
Pr0201,,6174.00,1.15,1.24,0.245,4.41,
Proxima Cen,M5.5 V,3050.00,0.14,0.12,-2.810,5.16,
Qatar-1,,5013.00,0.80,0.84,-0.438,4.55,1.190
Qatar-10,F7 V,6124.00,1.25,1.16,0.300,4.30,3.200
Qatar-2,,4645.00,0.78,0.74,-0.683,4.53,5.000
Qatar-3,G0 V,6007.00,1.27,1.15,0.279,4.29,0.310
Qatar-4,K1 V,5215.00,0.85,0.90,-0.318,4.53,0.170
Qatar-5,G2 V,5747.00,1.08,1.13,0.056,4.43,0.530
Qatar-6,K2 V,5052.00,0.72,0.82,-0.514,4.64,1.020
Qatar-7,F4 V,6387.00,1.56,1.41,0.563,4.20,1.690
Qatar-8,G0 V,5738.00,1.32,1.03,0.228,4.21,8.300
Qatar-9,K5 V,4309.00,0.70,0.72,-0.821,4.61,7.500
ROXs 12,M0,3850.00,1.07,0.87,-0.790,4.07,0.008
ROXs 42 B,M0,3433.00,1.34,1.00,-0.792,,0.003
RR Cae,M,3904.00,0.19,0.44,-2.108,5.08,
Ross 128,M4,3192.00,0.20,0.17,-2.441,5.05,5.000
Ross 458,M2,3646.00,0.56,0.56,-1.298,4.68,0.500
Ross 508,M4.5 V,3071.00,0.21,0.18,-2.445,5.04,
SR 12 AB,,3828.93,1.10,,-0.628,,0.002
SWEEPS-11,,,1.45,1.10,,,
SWEEPS-4,,,1.18,1.24,,,
TAP 26,,4620.00,1.17,1.04,-0.250,4.50,0.017
TCP J05074264+2447555,,5805.00,1.42,0.59,0.317,4.15,
TIC 172900988 Aa,F9,6050.00,1.38,1.24,0.671,4.25,3.100
TIC 237913194,G3,5788.00,1.09,1.03,0.078,4.38,5.700
TIC 257060897,,5988.00,1.82,1.32,0.610,3.93,3.470
TOI-1075,,3921.00,0.58,0.60,-1.144,4.69,
TOI-1107,F6 V,6311.00,1.81,1.35,0.671,4.05,2.600
TOI-1181,F9 IV,5990.00,1.75,1.19,0.672,3.90,2.590
TOI-1201,M2.0 V,3476.00,0.51,0.51,-1.469,4.80,
TOI-122,M3 V,3403.00,0.33,0.31,-1.854,4.88,2.000
TOI-1227,M4.5V-M5V,3072.00,0.56,0.17,-2.600,4.44,0.011
TOI-1231,M3 V,3553.00,0.48,0.49,-1.487,4.77,
TOI-1235,M0.5 V,3997.00,0.62,0.63,-1.054,4.64,5.300
TOI-1259 A,,4775.00,0.71,0.74,-0.590,4.61,4.800
TOI-1268,K1-K2,5300.00,0.92,0.96,-0.288,4.55,0.245
TOI-1278,M0 V,3799.00,0.57,0.54,-1.212,4.68,
TOI-1296,,5603.00,1.66,1.17,0.390,4.05,6.900
TOI-1298,,5889.00,1.41,1.44,0.334,4.39,1.600
TOI-132,G8 V,5397.00,0.90,0.97,-0.222,4.48,6.340
TOI-1333,,6274.00,1.93,1.46,0.713,4.03,2.330
TOI-1338,,6050.00,1.33,1.13,0.329,4.00,4.400
TOI-1411,,4266.00,0.66,0.59,-0.882,4.73,
TOI-1422,G2 V,5840.00,1.02,0.98,0.048,4.41,5.100
TOI-1431,Am C,7690.00,1.92,1.90,1.068,4.15,0.290
TOI-1442,,3330.00,0.31,0.29,-1.977,4.92,
TOI-1452,M4 &#177 0.5 V,3185.00,0.28,0.25,-2.155,4.95,
TOI-1478,,5597.00,1.05,0.95,-0.013,4.37,9.100
TOI-150,F,6255.00,1.53,1.35,0.497,4.13,2.346
TOI-1516,F8 V,6520.00,1.14,1.14,0.391,4.25,4.820
TOI-1518,F0,7300.00,1.95,1.79,1.462,4.10,
TOI-157,G9 IV,5404.00,1.17,0.95,0.020,4.28,12.820
TOI-1601,,5948.00,2.19,1.52,0.732,3.94,2.640
TOI-163,F,6495.00,1.65,1.44,0.636,4.19,1.823
TOI-1634,M2,3550.00,0.45,0.50,-1.539,4.83,
TOI-1685,M3.0 V,3434.00,0.49,0.50,-1.519,4.85,1.300
TOI-169,G1 V,5880.00,1.29,1.15,0.253,4.28,4.700
TOI-1693,,3499.00,0.46,0.49,-1.554,4.80,
TOI-1696,M5V,3185.00,0.28,0.26,-2.148,4.96,7.100
TOI-1710,G5 V,5665.00,0.97,0.98,-0.050,4.46,4.200
TOI-172,,5645.00,1.78,1.13,0.461,3.99,7.400
TOI-1728,M0,3980.00,0.62,0.65,-1.056,4.66,7.100
TOI-1759,M0.0 V,4065.00,0.60,0.61,-1.057,4.65,5.000
TOI-1789,F,5991.00,2.17,1.51,0.736,3.94,2.730
TOI-1807,,4757.00,0.68,0.75,-0.671,4.65,0.180
TOI-1820,,5734.00,1.51,1.04,0.294,4.24,11.000
TOI-1842,,6230.00,2.02,1.46,0.740,4.10,2.490
TOI-1860,G V,5752.00,0.94,0.99,-0.095,4.58,0.133
TOI-1899,M0,3841.00,0.61,0.63,-1.057,4.67,7.400
TOI-201,F6 V,6394.00,1.32,1.32,0.415,4.32,0.870
TOI-2025,,5880.00,1.56,1.32,0.420,4.17,1.700
TOI-2046,F8 V,6250.00,1.21,1.13,0.280,4.30,0.450
TOI-2048,G V,5185.00,0.79,0.83,-0.387,4.60,0.300
TOI-206,,3383.00,0.35,0.35,-1.836,4.89,
TOI-2081,M1.0,3800.00,0.53,0.54,-1.338,4.50,
TOI-2109,F,6540.00,1.70,1.45,0.673,4.14,1.770
TOI-2136,M4.5 V,3342.00,0.34,0.34,-1.886,4.91,4.600
TOI-2158,,5673.00,1.41,1.12,0.231,4.19,8.000
TOI-2180,G5,5695.00,1.64,1.11,0.406,4.06,8.100
TOI-2184,,5966.00,2.90,1.53,0.982,3.70,2.300
TOI-2193 A,,5966.00,1.25,1.08,0.250,4.28,5.500
TOI-2196,G V,5634.00,1.04,1.03,-0.004,4.42,4.500
TOI-220,K0 V,5298.00,0.86,0.83,-0.267,4.37,10.100
TOI-2207,,6101.00,1.56,1.30,0.484,4.16,3.300
TOI-2236,,6248.00,1.57,1.34,0.533,4.17,2.520
TOI-2257,M3,3430.00,0.31,0.33,-1.867,4.97,
TOI-2260,G V,5534.00,0.94,0.99,-0.199,4.62,0.321
TOI-2285,,3491.00,0.46,0.45,-1.542,4.77,
TOI-2337,,4780.00,3.22,1.32,0.689,3.50,4.900
